# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-0.3850365536367019,0.0,-1.1020909571062851,-0.9073661239591865,0.0,0.0
 0.21931279379544008,0.012024525380590307,0.05482819844886003,0.25000000000000006,-0.3850365536367019,0.0,-1.1020909571062851,-0.9073661239591865,0.0,0.0
 0.3104776743070074,0.02409909656077204,0.13244761702561184,0.851417981806088,-1.1459128045453753,0.0,-1.078795373320531,-0.9269598523786777,-8.346155302777264,-91.55011508755584
 0.3806566480490834,0.036224870925990936,0.1727835805890227,0.5747585268438792,-1.893834898362152,0.0,-1.055717745942557,-0.947222876420618,-10.657352963945641,-32.93290764927064
 0.4400132963081424,0.048402925231989274,0.20516748608930635,0.5455817747482264,-2.628887013937995,0.0,-1.0328884015799513,-0.9681588044462075,-12.383652667983307,-29.08351051938312
 0.4924804864261461,0.060634257377633366,0.23312344568357213,0.5328274590537468,-3.351167324999412,0.0,-1.0103345437889364,-0.9897711665383824,-13.766323476384757,-26.35305617266125
 0.5400732846815036,0.07291978820666711,0.25813844277691256,0.5256046715119236,-4.060786781019914,0.0,-0.9880803919390945,-1.0120633990494574,-14.910227640179158,-24.03523654265557
 0.5839875455196947,0.08526036333052936,0.28101520755029946,0.52094158792015,-4.757867932569622,0.0,-0.966147328421564,-1.0350388295683046,-15.873685182091803,-21.939514033098536
 0.6250016158858434,0.09765675496497883,0.3022472903513849,0.5176780215067253,-5.4425438045728285,0.0,-0.9445540513443256,-1.0587006625790887,-16.693682579925312,-19.993075315692188
 0.6636555244216961,0.11010966377385911,0.3221642850768847,0.515264703620493,-6.114956820034557,0.0,-0.9233167306297054,-1.0830519656218038,-17.395731529660036,-18.16243107947415
 0.7003419756487846,0.12261972071391074,0.34099937501762057,0.513407247382608,-6.775257776038736,0.0,-0.9024491654334584,-1.1080956560247763,-17.998496281826963,-16.430173320276314
 0.7353570258726712,0.13518748887507512,0.35892475038036414,0.5119334471356912,-7.42360487316999,0.0,-0.8819629412718514,-1.133834488054488,-18.51624067324526,-14.786338677449757
 0.7689303357555772,0.14781346531129622,0.3760718404070622,0.5107357626192388,-8.0601627988853,0.0,-0.8618675851310763,-1.1602710407630843,-18.960237400942546,-13.224693342593094
 0.8012442395607263,0.1604980828573117,0.39254364382907675,0.5097435308757039,-8.685101864815069,0.0,-0.8421707176480134,-1.1874077061154145,-19.339633790399137,-11.740964253168924
 0.8324463031990418,0.1732417119274378,0.40842263568994214,0.508908386475,-9.298597197584053,0.0,-0.8228782010227598,-1.21524667776725,-19.66201145797374,-10.331934173056702
 0.8626578981097235,0.18604466229277158,0.4237760503271914,0.5081960976453072,-9.90082798227099,0.0,-0.8039942820803521,-1.2437899401628567,-19.933763393405304,-8.994954958021115
 0.8919802348341813,0.19890718483371037,0.43865953323597573,0.507581747274936,-10.4919767573985,0.0,-0.7855217296321152,-1.2730392582116496,-20.16035695526377,-7.7276775035962455
 0.9204987197493825,0.21182947326506313,0.45311973864589217,0.507046761176599,-11.072228759937595,0.0,-0.7674619658739178,-1.3029961671928438,-20.346522764601822,-6.527899707561976
 0.948286171641022,0.22481166583139656,0.46719622284760104,0.506577006650404,-11.641771318794675,0.0,-0.7498151912084442,-1.333661963274369,-20.496393878721914,-5.393481730693829
 0.9754052429029433,0.23785384697063755,0.480922853635992,0.5061615368688889,-12.200793294857682,0.0,-0.7325805024963166,-1.3650376942771938,-20.613610645580987,-4.322300189669856
 1.0019102733164538,0.2509560489442629,0.49432887905484924,0.5057917387645675,-12.749484565701767,0.0,-0.7157560045108889,-1.3971241508247616,-20.70140129189959,-3.3122258284167727
 1.0278487309573585,0.26411825343266315,0.5074397510684514,0.5054607407699688,-13.288035552962514,0.0,-0.699338914551371,-1.4299218579041957,-20.762644977450616,-2.361115159540045
 1.05326234736577,0.277340393094613,0.520277769580779,0.5051629923901098,-13.816636790180452,0.0,-0.68332566036812,-1.4634310666180481,-20.799921928583867,-1.4668101750726732
 1.0781880227306406,0.2906223530899521,0.5328625925241033,0.5048939601075342,-14.33547852911749,0.0,-0.6677119712927577,-1.4976517465515844,-20.81555389541328,-0.627143160640118
 1.102658555609775,0.30396397256485874,0.5452116445851013,0.5046499037022546,-14.84475038228781,0.0,-0.6524929630872776,-1.5325835780182044,-20.81163723265576,0.16005629206637545
 1.1267032370580126,0.317365046099251,0.5573404481669484,0.5044277092195002,-15.344640999721504,0.0,-0.6376632163397997,-1.568225944943196,-20.79007029100543,0.8969526877183556
 1.1503483387497697,0.33082532511608864,0.5692628939519431,0.5042247625076162,-15.835337777739756,0.0,-0.6232168489051745,-1.6045779278219656,-20.752576343933114,1.58569616494339
 1.1736175173410637,0.34434451925245046,0.580991464022712,0.5040388522849305,-16.317026597819346,0.0,-0.609147582495819,-1.6416382970819123,-20.700722983827745,2.2284138609332422
 1.1965321520000254,0.35792229769245304,0.5925374173352761,0.5038680949708539,-16.789891593484608,0.0,-0.5954488038801798,-1.6794055063736875,-20.63593867861771,2.8272021864725136
 1.2191116281328314,0.37155829046217087,0.6039109450332173,0.5037108757991277,-17.254114943357788,0.0,-0.5821136206489322,-1.717877686636526,-20.559527029889992,3.384119643798823
 1.2413735774324788,0.3852520896868777,0.6151213013913249,0.503565802222233,-17.70987668846031,0.0,-0.5691349122765532,-1.7570526397686204,-20.472679142690204,3.9011807111232835
